t,x,y,yaw,v,w,v_cmd,w_cmd
15.7,7.73585197,-0.14107498,-1.61442668,0.24958318,-0.14058745,0.25,-0.273124
15.8,7.73465653,-0.16658804,-1.62886494,0.24823378,-0.13701196,0.25,-0.27557025
15.9,7.73310261,-0.19177996,-1.6419928,0.24034488,-0.12223924,0.25,-0.25542529
16.0,7.73122612,-0.21730975,-1.65171432,0.23672772,-0.08069557,0.25,-0.25542529
16.1,7.72912758,-0.2427213,-1.66030597,0.25280159,-0.07819082,0.25,-0.25285057
16.2,7.72671394,-0.26832148,-1.66925389,0.26563744,-0.09476647,0.25,-0.25351869
16.3,7.72412037,-0.29373903,-1.67683341,0.2473782,-0.04872431,0.25,-0.25351869
16.4,7.72138217,-0.31901469,-1.68616447,0.24905432,-0.11304588,0.25,-0.25807614
16.5,7.71840594,-0.34388774,-1.69807361,0.24817382,-0.12971328,0.25,-0.25807614
16.6,7.71511366,-0.36910571,-1.70987344,0.25188105,-0.12062426,0.25,-0.26223486
16.7,7.71192905,-0.39432543,-1.72267915,0.24878774,-0.13066335,0.25,-0.25163865
16.8,7.70842039,-0.41948432,-1.73530209,0.24251066,-0.11929099,0.25,-0.23655326
16.9,7.70459599,-0.44463735,-1.74675695,0.24903795,-0.10033155,0.25,-0.23655326
17.0,7.70001357,-0.47080829,-1.75333904,0.26782152,-0.04379553,0.25,-0.23212127
17.1,7.69526342,-0.49717114,-1.75818634,0.26420395,-0.04545847,0.25,-0.23212127
17.2,7.69042257,-0.52264146,-1.76541568,0.24035657,-0.08172571,0.25,-0.23050834
17.3,7.68710363,-0.53920796,-1.77093363,0.26543008,-0.07035348,0.25,-0.23050834
17.4,7.68193451,-0.56429016,-1.77867996,0.26579283,-0.07204786,0.25,-0.24125533
17.5,7.67677772,-0.58866422,-1.78712891,0.24690556,-0.12720252,0.25,-0.24428895
17.6,7.67139555,-0.61300805,-1.80110687,0.23624625,-0.11060445,0.25,-0.24428895
17.7,7.66551962,-0.63734828,-1.81276892,0.25082055,-0.121703,0.25,-0.24595309
