case,T,p_f,spec_idx,spec_label,total_branches,t_r,t_c,t_v
LIMO,15,0.01,4,$\varphi_5$,1,44.6223,796.9283,841.5506
LIMO,15,0.01,5,$\varphi_6$,1,44.6223,969.0166,1013.6389
LIMO,15,0.05,0,$\varphi_1$,1,44.6539,201.2526,245.9065
LIMO,15,0.05,1,$\varphi_2$,1,44.6539,12.4894,57.143299999999996
LIMO,15,0.05,2,$\varphi_3$,1,44.6539,388.6499,433.3038
LIMO,15,0.05,3,$\varphi_4$,1,44.6539,12.5,57.1539
LIMO,15,0.05,4,$\varphi_5$,1,44.6539,796.8781,841.532
LIMO,15,0.05,5,$\varphi_6$,1,44.6539,967.7775,1012.4314
LIMO,15,0.1,0,$\varphi_1$,1,44.4568,200.9926,245.44940000000003
LIMO,15,0.1,1,$\varphi_2$,1,44.4568,12.4834,56.940200000000004
LIMO,15,0.1,2,$\varphi_3$,1,44.4568,388.4338,432.8906
LIMO,15,0.1,3,$\varphi_4$,1,44.4568,12.4579,56.9147
LIMO,15,0.1,4,$\varphi_5$,1,44.4568,796.7267,841.1835000000001
LIMO,15,0.1,5,$\varphi_6$,1,44.4568,968.4589,1012.9157
LIMO,20,0.0,0,$\varphi_1$,128,3.7855,5651.9431,5655.7286
LIMO,20,0.0,1,$\varphi_2$,128,3.7855,265.5453,269.3308
LIMO,20,0.0,2,$\varphi_3$,128,3.7855,11155.8496,11159.6351
LIMO,20,0.0,3,$\varphi_4$,128,3.7855,264.9421,268.7276
LIMO,20,0.0,4,$\varphi_5$,128,3.7855,4290.916,4294.7015
LIMO,20,0.0,5,$\varphi_6$,128,3.7855,29178.287,29182.072500000002
LIMO,20,0.005,0,$\varphi_1$,1,135.2572,445.9731,581.2302999999999
LIMO,20,0.005,1,$\varphi_2$,1,135.2572,20.835,156.09220000000002
LIMO,20,0.005,2,$\varphi_3$,1,135.2572,867.1245,1002.3817
LIMO,20,0.005,3,$\varphi_4$,1,135.2572,20.809,156.0662
LIMO,20,0.005,4,$\varphi_5$,1,135.2572,286.5088,421.766
LIMO,20,0.005,5,$\varphi_6$,1,135.2572,1833.8145,1969.0717
LIMO,20,0.01,0,$\varphi_1$,1,129.6286,226.187,355.8156
LIMO,20,0.01,1,$\varphi_2$,1,129.6286,10.8259,140.4545
LIMO,20,0.01,2,$\varphi_3$,1,129.6286,457.6939,587.3225
LIMO,20,0.01,3,$\varphi_4$,1,129.6286,10.9907,140.6193
LIMO,20,0.01,4,$\varphi_5$,1,129.6286,148.3761,278.0047
LIMO,20,0.01,5,$\varphi_6$,1,129.6286,1181.6774,1311.306
LIMO,20,0.05,0,$\varphi_1$,1,138.0469,234.6604,372.70730000000003
LIMO,20,0.05,1,$\varphi_2$,1,138.0469,10.7767,148.8236
LIMO,20,0.05,2,$\varphi_3$,1,138.0469,458.6271,596.674
LIMO,20,0.05,3,$\varphi_4$,1,138.0469,10.874,148.9209
LIMO,20,0.05,4,$\varphi_5$,1,138.0469,148.8823,286.9292
LIMO,20,0.05,5,$\varphi_6$,1,138.0469,1176.5319,1314.5788
LIMO,20,0.1,0,$\varphi_1$,1,137.7737,231.2416,369.0153
LIMO,20,0.1,1,$\varphi_2$,1,137.7737,10.9328,148.7065
LIMO,20,0.1,2,$\varphi_3$,1,137.7737,449.5688,587.3425
LIMO,20,0.1,3,$\varphi_4$,1,137.7737,10.8564,148.6301
LIMO,20,0.1,4,$\varphi_5$,1,137.7737,148.8285,286.6022
LIMO,20,0.1,5,$\varphi_6$,1,137.7737,1189.7805,1327.5542
