x,y,yaw,v,w,v_cmd,w_cmd
0.995756,0.40934414,0.21991843,0.5781288,0.30531734,0.0,0.2405234
0.99531764,0.4048471,0.21822688,0.6388111,0.3712628,0.0,0.2405234
0.9948703,0.40034413,0.21661812,0.7795892,0.42132086,0.0,0.25316763
0.9943467,0.39570495,0.21537611,0.55758953,0.55188024,0.0,0.24515861
0.9938013,0.39110363,0.21402624,0.9088826,0.44602674,0.0,0.24515861
0.9932396,0.3865066,0.21263981,0.87228394,0.48610494,0.0,0.25311148
0.9926748,0.38201848,0.21104506,0.51493835,0.31643498,0.0,0.23750669
0.9922937,0.37906596,0.21001813,0.55739164,0.4546067,0.0,0.23750669
0.991687,0.3747378,0.20842376,0.31233454,0.1860789,0.0,0.23318255
0.9910724,0.37041855,0.20620647,0.22133398,0.057118237,0.0,0.23318255
0.99041563,0.36610773,0.20439523,0.24917793,0.2579986,0.0,0.2195015
0.989718,0.36181277,0.20250192,0.6765256,0.2979995,0.0,0.22954059
0.9890037,0.35749286,0.20068008,0.35282993,0.2758304,0.0,0.22954059
0.98826355,0.35305384,0.19899404,0.91753435,0.49732897,0.0,0.24991798
0.98748183,0.3485761,0.19768474,0.87977695,0.4926729,0.0,0.24991798
0.98667985,0.34406722,0.1965287,0.8780112,0.52866924,0.0,0.25325304
0.98585206,0.33962166,0.1950722,0.93929815,0.3118779,0.0,0.2837953
0.9850066,0.33517885,0.19374844,0.86011887,0.5658199,0.0,0.2837953
0.9841688,0.33085382,0.19261518,0.035310745,0.55006105,0.0,0.27395254
0.98333347,0.32670045,0.19143304,0.11883831,0.54379845,0.0,0.21876603
0.982479,0.32258558,0.19022554,0.0,0.5348165,0.0,0.21876603
0.9815969,0.31847608,0.18889627,0.47298384,0.4693396,0.0,0.21023756
0.9806964,0.3143574,0.18731841,0.6196785,0.2652139,0.0,0.25655997
0.9797614,0.31019247,0.18545279,0.24889326,0.3399225,0.0,0.25655997
0.97911483,0.30735973,0.18434083,0.72309065,0.25459415,0.0,0.26618713
0.9781247,0.30306366,0.18273929,0.77267456,0.45095217,0.0,0.26618713
0.97710997,0.29877338,0.18134725,0.59697294,0.40346295,0.0,0.2833768
0.97606415,0.29450244,0.18000185,0.6576834,0.4128614,0.0,0.2833768
0.9750055,0.29025215,0.17864835,0.6513157,0.3880347,0.0,0.21800977
0.97394514,0.2861187,0.177102,0.34965134,0.28863913,0.0,0.2660281
0.9728553,0.2820151,0.17530549,0.44447184,0.38341773,0.0,0.2660281
0.97176325,0.27799404,0.17364168,0.30403233,0.25472444,0.0,0.26263815
0.9706774,0.27402008,0.17202178,0.208251,0.39528185,0.0,0.28082567
0.96956384,0.27006584,0.17055395,0.49522495,0.44562423,0.0,0.28082567
0.9684085,0.26609543,0.16913775,0.17518711,0.35386223,0.0,0.2434169
0.96721977,0.2620919,0.16722435,0.8428011,0.24273491,0.0,0.2434169
0.96598524,0.25809765,0.16501486,0.7371211,0.0,0.0,0.24058962
0.96472555,0.25408378,0.16293484,0.5463152,0.2808448,0.0,0.25404114
0.96343327,0.2500983,0.16120017,0.48681307,0.40876043,0.0,0.29923898
0.96213895,0.24620447,0.15967134,0.40721178,0.4026274,0.0,0.29923898
0.96126425,0.2436294,0.15875405,0.38728952,0.44252527,0.0,0.29923898
0.959936,0.2397826,0.15738294,0.53646946,0.49217317,0.0,0.30484027
0.9585911,0.23595825,0.1560429,0.5381875,0.4813949,0.0,0.3248114
0.95724833,0.2321881,0.15468445,0.4629817,0.39110363,0.0,0.3248114
0.9559223,0.22846976,0.15317574,0.50081396,0.3893686,0.0,0.31919754
0.95452946,0.22471532,0.15167949,0.7909117,0.4434319,0.0,0.27502292
0.95311147,0.22099,0.15007508,0.17422915,0.31878275,0.0,0.27502292
0.95168203,0.21728513,0.14806366,0.22253704,0.1514638,0.0,0.27839643
0.9502177,0.21361351,0.14600247,0.14720535,0.42736542,0.0,0.27839643
0.94871336,0.20993099,0.14454809,0.43245983,0.3926223,0.0,0.33643174
0.9472127,0.20632622,0.14316773,0.65773916,0.4778598,0.0,0.3441177
0.94569,0.20275253,0.14187685,0.6430025,0.5111129,0.0,0.3441177
0.94415003,0.199218,0.14068633,0.34103394,0.5284878,0.0,0.3755647
0.94260305,0.19567943,0.13944256,0.46751308,0.5109049,0.0,0.3755647
0.94104224,0.19216466,0.13821241,0.42972326,0.49048617,0.0,0.3785553
0.9394608,0.18865159,0.13680571,0.40935087,0.3901254,0.0,0.36140096
0.93787825,0.18518469,0.13529727,0.36625385,0.4365573,0.0,0.36140096
0.9368171,0.18288845,0.13429451,0.6243224,0.38663656,0.0,0.34443444
0.9351951,0.17946568,0.13296631,0.8238678,0.3398893,0.0,0.34443444
0.93355876,0.1760802,0.13145593,0.6606736,0.42419964,0.0,0.35253417
0.9319164,0.172762,0.12996158,0.18447971,0.49439493,0.0,0.35053837
0.93025947,0.16945979,0.128631,0.6321163,0.43551934,0.0,0.35053837
0.92857605,0.16615424,0.12729844,0.5938616,0.4673963,0.0,0.34735113
0.9268775,0.16287255,0.12593901,0.51881313,0.4533856,0.0,0.34735113
0.9251621,0.15963191,0.12462482,0.36015558,0.49196514,0.0,0.3197077
0.9234349,0.15639892,0.1230571,0.6923528,0.41559255,0.0,0.33877957
0.92166704,0.15308547,0.12167457,0.6256933,0.44239056,0.0,0.33877957
0.9198773,0.149865,0.12026915,0.6906667,0.39367312,0.0,0.33957803
0.9181074,0.14672932,0.118721515,0.62274456,0.36532867,0.0,0.33957803
0.91632384,0.14362574,0.1171045,0.5502529,0.3362528,0.0,0.31104165
0.91452366,0.14057404,0.11554903,0.2693901,0.40873748,0.0,0.31795955
0.91272974,0.13761261,0.11409676,0.22742462,0.4286027,0.0,0.30884868
0.91091686,0.1346837,0.112564415,0.73332405,0.4375248,0.0,0.30884868
0.90970117,0.13271317,0.11155212,0.4320469,0.44913006,0.0,0.30884868
0.9078518,0.12976617,0.11019042,0.51982594,0.436562,0.0,0.31863546
0.90597045,0.12684375,0.10881534,0.4820819,0.4445613,0.0,0.31388783
0.90406376,0.12393829,0.10743511,0.8430009,0.46297568,0.0,0.31388783
0.90212214,0.1210241,0.10602534,0.6835723,0.42561293,0.0,0.31541908
0.9001677,0.11814132,0.10455912,0.7895136,0.3878461,0.0,0.31541908
0.8982055,0.11529136,0.1031349,0.6115079,0.41639066,0.0,0.32710314
0.89624155,0.11253658,0.10166839,0.7146783,0.42740655,0.0,0.3196538
0.89431196,0.10983986,0.10028151,0.48681164,0.44194108,0.0,0.3196538
0.8923851,0.10718691,0.09889066,0.28795862,0.45832288,0.0,0.328995
0.8904433,0.104573876,0.09754515,0.28880835,0.473997,0.0,0.328995
